;Produto;Maior Valor Registrado;Menor Valor Registrado;Valor Atual;Site;URL
0;RTX 4060 EAGLE OC 8G;R$ 2.699,90;R$ 2.549,90;2699.9;Kabum;https://www.kabum.com.br/produto/470987/placa-de-video-rtx-4060-eagle-oc-gigabyte-nvidia-geforce-8gb-gddr6-dlss-ray-tracing-gv-n4060eagle-oc-8gd
1;RTX 4060 Infinity 2 Palit 8G;R$ 2.299,90;R$ 2.299,90;2299.9;Kabum;https://www.kabum.com.br/produto/581685/placa-de-video-rtx-4060-infinity-2-palit-nvidia-geforce-8gb-gddr6-dlss-ray-tracing-g-sync-ne64060019p1-1070l
2;RTX 4060 Ti ASUS OC 8G;R$ 3.099,99;R$ 3.099,99;3099.99;Kabum;https://www.kabum.com.br/produto/546893/placa-de-video-rtx-4060-ti-o8g-evo-oc-asus-nvidia-geforce-8gb-gddr6-dlss3-ray-tracing-g-sync-90yv0j49-m0na00
3;RTX 4060 Ti EAGLE OC 8G;R$ 3.299,99;R$ 3.299,99;3299.99;Kabum;https://www.kabum.com.br/produto/462166/placa-de-video-rtx-4060-ti-eagle-oc-gigabyte-nvidia-geforce-8-gb-gddr6-dlss-ray-tracing-gv-n406teagle-oc-8gd-g10
4;RTX 5060 Ti EAGLE OC 16G;R$ 4.499,99;R$ 4.499,99;4499.99;Kabum;https://www.kabum.com.br/produto/747552/placa-de-video-rtx-5060-ti-eagle-oc-16g-gigabyte-nvidia-geforce-16gb-gddr7-128bits-rgb-dlss-ray-tracing-gv-n506teagle-oc-16gd
5;RTX 5070 WINDFORCE OC 12G;R$ 4.899,99;R$ 4.799,99;4899.99;Kabum;https://www.kabum.com.br/produto/714574/placa-de-video-gigabyte-rtx-5070-windforce-oc-sff-12g-nvidia-geforce-12gb-gddr7-192bits-dlss-ray-tracing-9vn5070wo-00-g10
6;RX 6750XT Gaming XFX 12G;R$ 2.799,99;R$ 2.799,99;2799.99;Kabum;https://www.kabum.com.br/produto/528811/placa-de-video-rx-6750xt-gaming-xfx-graphics-card-amd-radeon-12gb-gddr6-ray-tracing-fidelity-fx-rx-675tmbaf9
7;RX 7600 GAMING OC 8G;R$ 1.999,99;R$ 1.849,90;1999.99;Kabum;https://www.kabum.com.br/produto/475647/placa-de-video-rx-7600-gaming-oc-8g-amd-radeon-gigabyte-8gb-gddr6-128bits-rgb-gv-r76gaming-oc-8gd
8;RX 7600 XFX 8G;R$ 1.799,90;R$ 1.729,99;1749.99;Kabum;https://www.kabum.com.br/produto/723235/placa-de-video-xfx-amd-radeon-rx-7600-gaming-graphics-card-8gb-gddr6-rx-76pmbabfy
9;RX 7700 XT GAMING OC 12G;R$ 3.799,99;R$ 3.799,99;3799.99;Kabum;https://www.kabum.com.br/produto/525889/placa-de-video-gigabyte-rx-7700-xt-gaming-oc-12g-amd-radeon-12gb-gddr6-192bits-rgb-gv-r77xtgaming-oc-12gd
10;RX 7700 XT Phantom Gaming 12G;R$ 3.799,99;R$ 3.799,99;3799.99;Kabum;https://www.kabum.com.br/produto/482462/placa-de-video-rx-7700-xt-phantom-gaming-12g-oc-asrock-amd-radeon-12gb-gddr6-ray-tracing-90-ga4lzz-00uanf
11;RX 7800XT Gaming 16G;R$ 3.899,99;R$ 3.899,99;3899.99;Kabum;https://www.kabum.com.br/produto/576423/placa-de-video-rx-7800xt-gaming-16g-xfx-speedster-qick319-amd-radeon-16gb-ddr6-hdmi-3xdp-3-fan-rx-78tqickf9
12;RX 9070 GAMING OC 16G;R$ 5.999,90;R$ 5.999,90;5999.9;Kabum;https://www.kabum.com.br/produto/698459/placa-de-video-gigabyte-rx-9070-gaming-oc-16g-amd-radeon-16gb-gddr6-256bits-rgb-opengl-4-6-gv-r9070gaming-oc-16gd
13;RX 9070 Steel Legend OC 16G;R$ 6.099,99;R$ 6.099,99;6099.99;Kabum;https://www.kabum.com.br/produto/694713/placa-de-video-asrock-rx-9070-steel-legend-oc-amd-radeon-16gb-gddr6-fidelityfx-rdna-90-ga5ezz-00uanf
14;RX 9070 XT XFX 16G;R$ 6.099,99;R$ 5.799,99;5799.99;Kabum;https://www.kabum.com.br/produto/725947/placa-de-video-xfx-swift-rx-9070-xt-triple-fan-gaming-edition-with-amd-radeon-16gb-gddr6-hdmi-3xdp-rdna-4-rx-97tswf3b9
15;Arc B580 Challenger 12G;R$ 2.299,99;R$ 2.299,99;2299.99;Kabum;https://www.kabum.com.br/produto/688497/placa-de-video-asrock-intel-arc-b580-challenger-12g-oc-12gb-gddr6-2740mhz-90-ga5lzz-00uanf
16;Arc B580 Steel Legend 12G;R$ 2.499,99;R$ 2.499,99;2499.99;Kabum;https://www.kabum.com.br/produto/688498/placa-de-video-asrock-intel-arc-b580-steel-legend-12g-oc-12gb-gddr6-2800mhz-90-ga5czz-00uanf
